Method,Grid Size,Value,Error (bps),Convergence Rate
CN-Fixed,50,nan,nan,
CN-Fixed,100,nan,nan,
CN-Fixed,200,nan,nan,nan
CN-Fixed,400,nan,nan,nan
CN-Fixed,800,nan,nan,nan
