Method,Grid Size,Value,Error (bps),Convergence Rate
CN,50,6.35297,36.1555,
CN,100,6.29817,50.4105,
CN,200,6.32275,11.579,0.821352
CN,400,6.32853,2.45674,2.17945
CN,800,6.32976,0.503049,2.26233
