Method,Grid Size,Value,Error (bps),Convergence Rate
CN+PSOR,50,6.67209,18.518,
CN+PSOR,100,6.6181,62.5585,
CN+PSOR,200,6.65064,13.6946,0.217662
CN+PSOR,400,6.65852,1.85554,2.53765
CN+PSOR,800,6.66027,0.762391,2.08347
